iter	Passed	Remaining
0	144	144324
1	148	74131
2	151	50261
3	153	38246
4	155	31009
5	158	26199
6	160	22768
7	162	20184
8	165	18230
9	167	16616
10	170	15295
11	172	14195
12	174	13283
13	177	12484
14	179	11790
15	181	11185
16	184	10646
17	186	10166
18	188	9736
19	190	9349
20	191	8946
21	194	8630
22	197	8377
23	199	8112
24	201	7868
25	204	7643
26	206	7459
27	209	7281
28	212	7117
29	214	6946
30	217	6788
31	219	6638
32	221	6500
33	224	6366
34	226	6241
35	228	6124
36	231	6014
37	233	5906
38	235	5803
39	237	5707
40	240	5614
41	242	5529
42	245	5455
43	247	5382
44	250	5307
45	252	5234
46	254	5164
47	257	5104
48	259	5040
49	261	4977
50	264	4916
51	266	4860
52	268	4805
53	272	4765
54	274	4716
55	277	4670
56	279	4629
57	282	4584
58	284	4539
59	286	4495
60	289	4460
61	292	4418
62	294	4377
63	296	4337
64	298	4299
65	301	4261
66	303	4224
67	305	4188
68	308	4158
69	310	4126
70	313	4100
71	315	4070
72	319	4055
73	321	4024
74	323	3995
75	325	3958
76	327	3931
77	330	3903
78	332	3877
79	334	3852
80	337	3827
81	339	3801
82	342	3780
83	344	3758
84	347	3744
85	351	3733
86	353	3714
87	356	3693
88	359	3676
89	361	3654
90	363	3633
91	365	3612
92	368	3591
93	370	3571
94	372	3552
95	375	3534
96	377	3516
97	380	3498
98	382	3484
99	385	3467
100	387	3449
101	390	3435
102	392	3422
103	395	3405
104	397	3389
105	400	3376
106	402	3361
107	405	3348
108	407	3332
109	409	3317
110	413	3310
111	415	3296
112	418	3282
113	421	3272
114	423	3260
115	425	3245
116	428	3231
117	430	3217
118	433	3209
119	435	3196
120	438	3183
121	440	3170
122	442	3157
123	445	3144
124	447	3131
125	449	3118
126	452	3107
127	454	3098
128	457	3086
129	459	3076
130	461	3063
131	464	3051
132	467	3044
133	469	3033
134	471	3021
135	474	3013
136	476	3002
137	478	2991
138	481	2982
139	484	2973
140	487	2967
141	489	2957
142	491	2948
143	494	2938
144	497	2931
145	499	2923
146	502	2913
147	504	2904
148	506	2894
149	509	2886
150	513	2885
151	515	2877
152	518	2868
153	520	2860
154	523	2851
155	525	2843
156	528	2836
157	531	2835
158	534	2828
159	537	2819
160	539	2813
161	542	2805
162	544	2798
163	547	2790
164	549	2783
165	552	2774
166	554	2766
167	557	2759
168	559	2750
169	562	2743
170	564	2738
171	567	2730
172	569	2724
173	572	2718
174	575	2712
175	578	2708
176	581	2701
177	583	2693
178	585	2687
179	588	2679
180	590	2671
181	592	2664
182	595	2657
183	597	2649
184	599	2642
185	602	2635
186	604	2628
187	606	2620
188	609	2613
189	611	2606
190	613	2599
191	616	2592
192	618	2585
193	620	2578
194	622	2571
195	625	2564
196	628	2563
197	631	2556
198	633	2550
199	635	2543
200	638	2537
201	640	2531
202	643	2525
203	645	2519
204	648	2513
205	650	2507
206	653	2502
207	655	2496
208	658	2491
209	660	2485
210	663	2481
211	666	2479
212	669	2473
213	671	2467
214	674	2461
215	676	2456
216	681	2457
217	683	2453
218	687	2452
219	690	2448
220	692	2442
221	695	2435
222	697	2431
223	700	2425
224	702	2420
225	705	2415
226	707	2410
227	710	2406
228	713	2401
229	715	2395
230	718	2390
231	720	2385
232	723	2380
233	725	2374
234	727	2368
235	730	2364
236	732	2358
237	734	2352
238	737	2346
239	739	2341
240	741	2336
241	744	2331
242	746	2325
243	748	2320
244	751	2315
245	753	2310
246	756	2304
247	758	2300
248	760	2294
249	763	2289
250	765	2284
251	767	2279
252	770	2275
253	773	2272
254	775	2266
255	778	2261
256	780	2256
257	782	2251
258	785	2246
259	788	2243
260	790	2238
261	792	2233
262	795	2228
263	797	2224
264	800	2219
265	802	2214
266	804	2209
267	807	2204
268	809	2199
269	812	2195
270	814	2191
271	816	2186
272	819	2181
273	822	2178
274	824	2173
275	826	2168
276	829	2164
277	831	2160
278	834	2157
279	837	2153
280	839	2148
281	842	2144
282	844	2140
283	847	2136
284	850	2132
285	853	2130
286	855	2125
287	858	2121
288	860	2117
289	863	2112
290	865	2108
291	867	2103
292	870	2100
293	872	2096
294	875	2092
295	877	2087
296	879	2082
297	882	2078
298	884	2074
299	887	2070
300	889	2066
301	892	2062
302	894	2058
303	897	2053
304	899	2049
305	901	2045
306	904	2041
307	906	2037
308	909	2033
309	911	2029
310	914	2024
311	916	2020
312	918	2016
313	921	2013
314	923	2009
315	926	2005
316	929	2002
317	931	1998
318	934	1994
319	936	1990
320	938	1986
321	941	1982
322	943	1978
323	946	1974
324	948	1970
325	951	1966
326	953	1962
327	956	1959
328	958	1954
329	962	1953
330	964	1950
331	967	1946
332	969	1942
333	972	1938
334	974	1934
335	977	1930
336	979	1926
337	982	1923
338	984	1919
339	986	1915
340	989	1912
341	991	1908
342	995	1906
343	997	1902
344	1000	1898
345	1002	1894
346	1004	1891
347	1007	1887
